nama_destinasi_wisata,bulan,wisnus,wisman
Museum Seni Rupa dan Keramik,Juni,5865.0,0.0
Museum Seni Rupa dan Keramik,Juli,2370.0,0.0
Museum Seni Rupa dan Keramik,Agustus,16640.0,76.0
Museum Seni Rupa dan Keramik,September,9132.0,95.0
Museum Seni Rupa dan Keramik,Oktober,9642.0,72.0
Museum Seni Rupa dan Keramik,Nopember,17676.0,449.0
Museum Seni Rupa dan Keramik,Desember,23945.0,41.0
Museum Wayang,Januari,23332.0,3193.0
Museum Wayang,Februari,22105.0,3285.0
Museum Wayang,Maret,26767.0,3605.0
Museum Wayang,April,19053.0,3667.0
Museum Wayang,Mei,50586.0,3102.0
Museum Wayang,Juni,20832.0,4546.0
Museum Wayang,Juli,3622.0,1253.0
Museum Wayang,Agustus,27732.0,5403.0
Museum Wayang,September,17107.0,5398.0
Museum Wayang,Oktober,19339.0,4529.0
Museum Wayang,Nopember,31874.0,3894.0
Museum Wayang,Desember,56211.0,4060.0
Museum Joang '45,Januari,1890.0,10.0
Museum Joang '45,Februari,1900.0,13.0
Museum Joang '45,Maret,1439.0,0.0
Museum Joang '45,April,1741.0,0.0
Museum Joang '45,Mei,1415.0,10.0
Museum Joang '45,Juni,929.0,0.0
Museum Joang '45,Juli,621.0,32.0
Museum Joang '45,Agustus,922.0,15.0
Museum Joang '45,September,894.0,0.0
Museum Joang '45,Oktober,1107.0,0.0
Museum Joang '45,Nopember,2953.0,0.0
Museum Joang '45,Desember,3587.0,0.0
Taman Arkeologi Pulau Onrust,Januari,1096.0,18.0
Taman Arkeologi Pulau Onrust,Februari,1077.0,10.0
Taman Arkeologi Pulau Onrust,Maret,231.0,26.0
Taman Arkeologi Pulau Onrust,April,5897.0,36.0
Taman Arkeologi Pulau Onrust,Mei,5000.0,42.0
Taman Arkeologi Pulau Onrust,Juni,5200.0,38.0
Taman Arkeologi Pulau Onrust,Juli,650.0,12.0
Taman Arkeologi Pulau Onrust,Agustus,5894.0,35.0
Taman Arkeologi Pulau Onrust,September,3765.0,75.0
Taman Arkeologi Pulau Onrust,Oktober,2554.0,14.0
Taman Arkeologi Pulau Onrust,Nopember,2729.0,31.0
Taman Arkeologi Pulau Onrust,Desember,3013.0,34.0
Pelabuhan Sunda Kelapa,Januari,3640.0,86.0
Pelabuhan Sunda Kelapa,Februari,2241.0,63.0
Pelabuhan Sunda Kelapa,Maret,3178.0,76.0
Pelabuhan Sunda Kelapa,April,4395.0,85.0
Pelabuhan Sunda Kelapa,Mei,69.0,4177.0
Pelabuhan Sunda Kelapa,Juni,3806.0,38.0
Pelabuhan Sunda Kelapa,Juli,3523.0,27.0
Pelabuhan Sunda Kelapa,Agustus,6211.0,82.0
Pelabuhan Sunda Kelapa,September,4579.0,46.0
Pelabuhan Sunda Kelapa,Oktober,5059.0,59.0
Pelabuhan Sunda Kelapa,Nopember,3289.0,38.0
Pelabuhan Sunda Kelapa,Desember,5862.0,150.0
