nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;82.69;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;92.06;MALUKU
"Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;90.11;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;88.37;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;70.43;PAPUA
Angka Partisipasi Sekolah ( A P S );13-15;2011;Tahun;87.99;INDONESIA
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;72.14;ACEH
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;67.1;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;68.84;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;65.41;RIAU
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;59.99;JAMBI
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;56.54;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;62.86;BENGKULU
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;56.24;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;49.92;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;68.17;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;59.72;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;50.36;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;54.76;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;75.6;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;58.54;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;56.01;BANTEN
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;68.22;BALI
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;60.09;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;60.06;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;50.17;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;55.75;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;53.89;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;69.1;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;60.77;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;59.49;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;57.15;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;62.29;""SULAWESI TENGGARA"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;58.14;GORONTALO
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;57.3;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;67.34;MALUKU
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;65.12;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;65.53;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;49.71;PAPUA
Angka Partisipasi Sekolah ( A P S );16-18;2011;Tahun;57.95;INDONESIA
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;27.68;ACEH
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;16.94;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;23.95;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;15.34;RIAU
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;15.64;JAMBI
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;12.75;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;17.02;BENGKULU
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;10.39;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;8.63;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;9.67;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;17.83;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;11.15;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;11.51;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;44.17;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;12.69;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;13.56;BANTEN
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;18.93;BALI
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;16.99;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;17.4;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;11.94;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;13.05;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;13.62;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;16.92;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;15.16;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;16.72;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;21.46;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;21.48;""SULAWESI TENGGARA"""
Angka Partisipasi Sekolah ( A P S );19-24;2011;Tahun;19.85;GORONTALO
